myunique_id,myanger_direction,mydeveloper_comment
197675_6,ob,'I just want to use for example XPathAPI doc 'SMARTDOCSIGNATURESSignatureSignedInfoCanonicalizationMethodAlgori thm' instead of ElementgetElementsByitem0...firstChild..ugly...'  
252084_6,ob,'Having the client side and server side behave differently is kind of ugly.' 
217799_1,ob,'That's a really good bug report... this problem's been annoying me for a VERY long time.' 
249953_3,ob,'One nasty workaround for your problem would be to subclass VelocityEngine which delegates everything to Velocity.' 
251716_1,ob,'Urghhhhh yes this is a problem and all down to the horrible way the javascript validators are structured to 'call back'.' 
200136_5,ob,'Yes this difference in the DOM and XPath data models is annoying.' 
221532_1,ob,'It seems that we have no choice but to implement it as Bryant suggested but I really really really hate that we have to have special handling for a weird requirement of the SRV spec.' 
316070_1,ob,'Grabbing the big ugly ImageSubmit component .' 
233337_8,ob,'And finnaly the code listed above is ugly because the code does nothing in all cases returns getApplication.getSessionSettings.getPageFactory ....' 
199252_1,ob,'The stupid namespace bug is fixed but the test still fails.' 
241523_11,ob,'What an annoying situation. you can't even use a http tunnel because then the client would compare the received hostname with 'localhost'' 
199195_6,ob,'b.t.w. I HATE when property settings make this big a difference 'cause its impossible to find the exact documentation on this kinda of stuff.' 
217890_2,ob,'It's a bit annoying in Apache ODE as we have to ask our users to work this around.' 
252433_2,ob,'This issue is really quite annoying.' 
313935_34,ob,'Once again given that there will be potentially hundreds to thousands of UserHistoryEvent objects in EACH of those relationships encoding the target entities or their pk's into the url is ugly and really not scalable.'  
243691_8,ob,'The Java 5 thing is annoying and I found it nontrivial to change the layout e.g.' 
297797_5,ob,'I know pretty ugly but I think that's how browsers handle it. '  
246263_5,ob,'I really dislike the format 'scheme.user.host' where the password is hidden with  it is kind of ugly and I don't think it serves any purpose to show the .' 
300318_15,ob,'Also note that it's annoying [though still totally feasible] to pass pointers to POD and string literals in Go.' 
207912_4,ob,'This is quite annoying... ' 
308814_1,ob,'This bug is really annoying.' 
231224_1,ob,'and now you dont base your flow on exceptions which i find kind of ugly' 
284880_1,ob,'Yes indeed the given workaround is ugly.'  
244578_23,ob,'One could have different transform rules for some types of element insertions but that's very ugly and essentially introducing a separate operation type anyway.' 
215759_2,ob,'The need for PAGE_CONTEXT is due to some very complex and annoying.' 
282051_9,ob,'This is annoying and fragile.' 
301186_13,ob,'4 Now that I'm using Thrift in anger I find that the fidelity of the languagebinding for the types that already exist seems far far more important than adding new types.' 
251055_2,ob,'It's definitely annoying.' 
281093_3,ob,'Alternatively we'd have to add new 64bit variants where necessary which seems annoying.' 
198039_2,ob,'I had to do a lot of annoying repair work before I could run it due to the extra linebreaks that were inserted when you pasted into the web form in the future please use Bugzilla's 'Create a new attachment' mechanism.'  
211330_4,ob,'While this is annoying and could potentially be an issue which is why I suggest we block the 'session' parameter in the next release it does not allow any method execution or serverside state change and therefore I don't consider it a security hole.'  
237893_1,self,'Thanks a lot igor and... shame on me for this mistake.' 
310077_1,ob,'For WildCard types in C++ a dumb proposal.' 
420147_6,ob,'I was a big fan of Hungarian notation in C when I was using dumb text editors ... it doesn't add enough value in an OO language with modern tools to make up for the fact that my eye stutters over it every time I see it.' 
1692069_1,ob,'The old logic had no hope of working.' 
251716_1,ob,'Urghhhhh yes this is a problem and all down to the horrible way the javascript validators are structured to 'call back'.' 
689788_1,ob,'Oh shit on windows a very lot of tests are failing with MMap.'  
1726746_3,self,'Ok this is just me being stupid.' 
330777_15,ob,'This could ultimately sour them on Struts and being a Struts supporter I would hate to see that happen.'  
755701_2,ob,'It is really annoying since this actually prevents you from checking for valid paths in your code since itemExists is often called first.'  
714685_1,self,'After rereading all comments I see I made a terrible mistake.' 
758571_3,ob,'It was a stupid error in my code.' 
973583_2,ob,'I was tempted to plain remove it because its kinda dumb test tables have no data and one region only.... does same task 100 times.' 
1334343_1,self,'ah stupid me missed the isEmpty.' 
319679_1,ob,'unreopened... that was dumb we should just track it in the other defect.' 
725564_5,ob,'ReassignPartitionsCommand 2.1 I did not do that as it makes the code ugly and it does not cause any harm.' 
262686_1,ob,'I committed fixes for annoying issues with the plugin TUSCANY2175 in trunk SVN revision 643158.' 
418310_7,self,'stupid me I saved that cleanup once I got the guice working.. and then I forgot.' 
251846_13,ob,'I know the page is ugly and maybe quite confusing specially after seeing Niall's...' 
1317742_1,self,'I'm being dumb.' 
1165476_28,ob,'Reporting every 30000 msecs 355024 more msecs left before giving up.' 
1444883_1,self,'Sorry duplicate of a bug previously submitted by myself......how dumb is that.' 
579074_8,oth,'They also do what they do as part of a bigger picture of making it easier for dumb users to use the systems.' 
1191583_2,ob,'Obviously though this is not a good solution to the problem since we cannot select different locales when there is more than one language involved. '  
262373_3,self,'I had deleted some nonsecurity changes in the previous patch and I might have deleted too much.' 
563625_9,ob,'If we follow your proposal bad pages would promote more agressively than good pages...' 
1060817_4,ob,'Please have a look how ugly lists are now.' 
316192_1,ob,'I have a bunch of ugly components for opening popups at the same time than you click on a LinkSubmit or DirectLink.' 
314472_1,ob,'I've been adding logging output to see what's going on in getting some ugly results. 09.03.05 483 INFO [TapestryFilter] Startup time. 137 ms to build IoC Registry 359 ms overall.'  
308121_1,ob,'Jonathan you have stumbled on an old ugly problem in Thrift.' 
1351420_1,self,'I made a stupid mistake in my fix.' 
1691691_2,ob,'Thanks a lot John for fixing this ugly bug.' 
684997_3,ob,'836176 Thanks uwe I did look at the right one first I hate that AM PM issue.' 
495127_3,ob,'That's pretty ugly and still won't cover certain cases but it'll work for this user and previous users.' 
1164276_1,ob,'I'm having a terrible time trying to run the tests in the provided testing structure of Gora antmaven therefore I'm running the tests completely isolated.' 
439299_107,ob,'If you make the Destinations fairly dumb then you end up complicating your session implementations.' 
573093_1,ob,'I didn't complain that the UTF8 characters would be passed incorrectly I did complain that the HTMLOutputText doesn't work properly.' 
335952_6,ob,'Forcing people to iterate through the messages even for just one message and insert markup is not a good solution because it's an unreasonable burden.' 
924432_4,ob,'I had a terrible time figuring out the correct patterns to exclude these files.' 
388295_1,ob,'Thomas [ I'm not a solrdev these are just my thoughts opinions ] I think that's a really horrible idea.'  
569585_3,ob,'What I did notice a while ago was that those scripts are very annoying when doing AJAX.' 
479595_1,ob,'It doesn't crash for me Java 1.7 Windows 7 64 bit pdfbox 2.0 but the images rendered are terrible.'  
318785_1,ob,'Apparently there's a workaround so it's annoying but not critical.' 
333730_1,ob,'I could certainly subclass RequestProcessor but considering the multitude of issues surrounding subclassing RequestProcessor already I hate to do so for such a simple little thing as more logging.'  
694701_4,ob,'. to remove initDISIQueue from next and skipTo also the same in DisjunctionSumScorer ... this is due to this ugly 1 position before first call I just do not know how to get rid of it . to switch to Conjuction 'mode' if minNrShouldMatch kicks in.... there are already todos for it arround if you think you can use it just go ahead and include it in your patch I am not using this for anything just wrapped it up when you asked. ' 
335025_2,ob,'This patch is required for correct operation it is unacceptable to have to patch either the Struts library [in some corporate environments this is not permissible] or include a statement setting the value of Globals.XHTML_KEY to 'true' as the first line of each tile [which is an ugly workaround for the framework bug].' 
337173_14,ob,'On the other hand NOTHING is more annoying than initiating an action on a web site  being forced to log in then finding yourself back at square one.'  
648697_7,ob,'They do have lots of great solvers but I've been seeing a disturbing number of bugs fixed on their SVD implementation lately I mean fixing bugs is great but having them in there means we don't know how many more there are and the impls there are translated from fortran and the code is very dense and hard for me to debug if I see a bug pop up personally.'
258383_4,ob,'You can get an idea of how ugly it was to > > implement this just by scanning the patch quoted below.' 
672732_3,self,'Stupid mistake on my part.' 
335621_2,ob,'This is an annoying situation.' 
414406_1,self,'Hi Jesse stupid question from me.' 
1690673_4,ob,'I kept the indentation from our existing code in configure.ac I know it looks ugly but everything configure is ugly imo .'  
658526_16,ob,'But that starts to get ugly ... not sure it's worth it for only 6.' 
329631_2,ob,'This would be terrible for I18N sites.' 
545629_6,self,'and '..' being valid names for a Tree or a PropertyState and since the OAK API is on a different level of abstraction than the MK I don't see why we should be bound to the same level of ignorance.' 
587003_2,oth,'Those annoying people who pay me a salary have been actually consuming me time recently and I havent gotten done what I hoped.' 
1194923_8,ob,'Bitstream Vera is no good to me since it does not contain all the SÌ_mi characters.' 
257826_5,ob,'I hate to have to implement this by scanning every string for bad characters prior to serialization that just seems so wasteful.' 
315620_1,ob,'Specifying pages starting with WEBINF is IMO ugly.' 
329777_9,ob,'I would hate to see us repeatedly having this conversation.' 
755277_1,self,'That was really stupid on my part my apologies.' 
706166_2,oth,'OK... let's get every stupid person in here... ' 
304606_18,ob,'An ugly way to work around this would be to let TBase remain a new style class and offer an additional compiler flag to indicate that users' exception structs need to be old style classes and generate out their explicit read and write methods so a class like Xception only inherits from Exception which will always work in python 2.x and up.'  
586591_1,self,'Sorry for my stupid suggestion in the first post.' 
329846_5,ob,'This is simply horrible and unacceptable.' 
429721_4,self,'I did not reinstall after moving to 0.10.x for shame.....' 
347556_1,self,'Actually I've just realized that I spent too much thinking about technical details and I've completely missed the non technical ones.' 
251568_8,ob,'At the moment validator doesn't validate an input field with multiple values quite annoying sometimes.' 
699160_3,ob,'I agree that modifying MemoryIndex was horrible and I have removed that dependency just did it as a 'quickfix'.' 
1021024_43,ob,'Removes the dumb serverAddressToServerInfo from ServerManager.' 
526938_2,oth,'No need to say that if somebody beats me on it I will not complain' 
257545_1,ob,'Thilo. > The terrible twins Eclipse and Maven are driving me crazy.' 
649272_9,ob,'It is a horrible performance drain.' 
727527_1,ob,'Guys previously we had a terrible api to fetch metadata.' 
1345784_2,ob,'I also plan on adding more tests cause I hate doing refactorings without having a safety net.' 
252084_6,ob,'Having the client side and server side behave differently is kind of ugly.' 
330924_6,ob,'In other words having all checkboxes 'off' by default sound like a pretty dumb solution.' 
309376_1,ob,'That is fairly annoying isn't it.' 
1326017_1,ob,'Ok going mad that patch does work other unrelated bug was causing eclipse plugins not to load on startup.'  
1067470_3,self,'They were missed in the original patch shame on me. ' 
472046_3,ob,'So that's not so good especially since I let you serialize complex schemas.' 
409357_1,ob,'Felix. I think I removed the 'Stacktrace.' strings because they looked 'ugly' in the output and it was somewhat obvious that these are stacktraces or the word stacktrace was duplicated in the end.' 
319135_1,ob,'Takes some ugly code for this to be triggered ... an object's toString must return null which is generally a nono.' 
482326_2,ob,'This bug is really annoying.' 
706167_4,oth,'I have removed your logging system and will write my own since your stupid reply this morning...' 
308240_1,ob,'This warnings is really annoying.' 
777688_1,self,'Thank you for your support but I did a terrible mistake.' 
739718_9,ob,'I hate it when I have to define properties in my HOMEbuild.properties without a proper namespace.' 
734625_1,self,'Stupid of me not to notice it...' 
307734_1,ob,'Here is one way to fix this annoying issue. http.bitbucket.orgjesperndjangopistonissue22' 
715620_2,self,'I was being dumb and calling getClass on the key when it came back from the map and as it was the Class object itself that meant it returned java.lang.Class from the bootstrap loader.' 
1327379_4,ob,'Terrible documentation on this I know.' 
307663_2,self,'Stupid of me.' 
316680_5,ob,'Ugly stuff but it'll do for the moment.' 
320528_3,ob,'But that would be an ugly block of inline.' 
412565_1,ob,'I do agree that this isn't good on a sweeping level but I also hate projects that make all instance variables private to the point that classes that should be extensible aren't extensible because you can't extend them and access the data that you need.' 
574610_2,self,'Very dumb typo of mine Fixed in SVN head.' 
1193072_1,self,'This was discussed onlist and Tim assures me that it is possible so it may well have been a stupid mistake on my part.' 
1013657_1,self,'I tried several incarnations of reproducing this but I'm apparently doing something stupid because I can't seem to get to the same state where it was breaking in my local dev environment.' 
334184_3,ob,'It is extremely annoying to open a bug only to have it immediately marked 'resolved.wontfix' just because there is a work around.' 
810059_3,oth,'feel free to delete this post but please let me know if i'm that dumb .'  
255824_1,self,'Please bear with me as I display my maven ignorance....' 
666448_1,ob,'Interesting I didnt look at PMD although that is more down to my personal dislike of code lint tools that do source code analysis shrugs It was a fun distraction anyhow' 
460483_2,ob,'argv[1] is pretty ugly...' 
329639_12,ob,'Submitting 340K of modified strutshtml.tld seems just too much.' 
538616_5,ob,'I'm sorry I sent the minimal patch without explanation I hate browser hot keys.... You can push either this complete patch or do 'mvn P codegen' after importing the minimal patch and then push the result.' 
1616161_7,self,'I kept the script pretty dumb.' 
565252_2,ob,'Ask the committer why he made this change.. Also I really sorry hate the silentcatches all over NPanday.'  
1201812_1,ob,'OK yet another one of my gut feelings at the time has hereby been proven correct. putting that stuff in addChildNode wasn't such a good idea...' 
1035454_3,ob,'My guess is that its dumb and explains output of git diff at toplevel of hbase checkout.' 
320192_9,ob,'It's too much work.' 
2075144_2,ob,'While I prefer it when I write code it's really worthless on generated code the more I think about it.' 
305018_7,ob,'to reuse config.h and define HAVE_CONFIG_H. I find it in practice annoying because it assumes 'config.h' is at the same level of 'Thrift.h'.' 
310678_11,ob,'In fact these tools are far better than trying to post patches to this list for the ongoing branch and having people review them that way not only it is a lot more overhead on my part the tools for reviewing a patch here just aren't as good as the git web tools are.'  
251055_2,ob,'It's definitely annoying.' 
314809_1,ob,'BTW the 'new' MultipleFormSupport is an ugly copypaste of 'FormSupportImpl' mostly due to the fact that _cycle is private in FormSupportImpl Making it protected saves more that 750 lines... the other solution is for the subclass to also keep a copy of that field when it's passed in the contructor still ugly.'  
566672_4,self,''  total e   }   return total } I'm stupid with the IO operators  can anyone tell the property of the method .'  
425398_6,ob,'So far it hasn't give me any good but delayed a number of great comments and possibly turned some people away from my blog.' 
493299_2,ob,'I've had terrible luck with the Eclipse source formatter with usually several lines in a source file not being split to <=80 or having weird line splitting no matter what options I set.' 
2120525_2,self,'Please close as this is just me being stupid.' 
1342428_1,self,'grrr I'm a dumb ss... You are plain right this is an issue.'  
1340130_1,ob,'Seems like copypaste does NOT work directly and you get an annoying loop when trying to open the newly pasted search it tries to open the other connection and remembers this making your current connection useless because it automaticly opens the connection from where you started copying the search But if you close down Directory Studio and starting it up again both the loop problem is gone and the search has replaced the server information correctly so you actually can start using your newly pasted search' 
751618_13,ob,'As it stands now that's how I'm accomplishing this but it's an ugly hack requiring me to locate my subclass in the {{org.apache.jackrabbit.core.security.authorization.acl}} package in order to make use of the {{ACLTemplate}} class.' 
314873_2,ob,'Stupid typos took me a while to track down.' 
756748_2,self,'Aaarrggh how stupid of mine to have a System.out again.'  
395283_3,ob,'This is somewhat an ugly fix but at least the output is better for me.' 
1327878_18,ob,'If you just use EmbedDependency then you're telling BND to add the contents of the jar or the jar itself but don't say which packages should be made public so you can leave out exportcontents but then you won't be exporting any packages this is ok if you're not expecting other bundles to use the packages > Also <_failok> is ugly.' 
807428_1,self,'Stupid me.' 
257786_4,ob,'So unless we wanted to ship the plugin with extra entries in its manifest this would require the user editing the manifest file which is pretty ugly.' 
308814_1,ob,'This bug is really annoying.' 
1442905_1,oth,'I won't resolve this until you comment further in case you can offer some idea of what we can do with an element with no type other than to complain. ' 
651591_5,ob,'I see no hope for medium trust . DIGY ' 
321479_1,oth,'OMG Jesse you are doing the Tapestry community a bad favor reacting the way you do.' 
305641_3,ob,'If we're going to put a finally block in TNonblockingServer's run method we should probably at least log whatever gets thrown I hate silent catches.' 
405316_9,ob,'Having a buffer per ContentData dates way back before Apache Sling and has probably cannot remember any more sorry done for some stupid reason in the preHttpServletWrapper days.....' 
334844_3,ob,'http.cvs.apache.orgviewcvs.cgijakartataglibsstandardsrcorgapachetaglibsstandardtag commoncoreForEachSupport.java.rev=1.6&view=markup Also of course that this is ultimately a problem of broken tag pooling implementations is annoying.'  
684056_2,ob,'I think it looks kinda dumb but if its useful I'll commit it. ' 
1200782_13,ob,'The more I look at that attribute the more I hate it so I guess I'm motivated . > Since I'll be leaving for ApacheCon in a few hours I may not have enough time > to finish applying the current patch.'  
485049_1,ob,'Hi I am a bit wary of moving code changes around too much I always end up forgetting or missing something.' 
733717_3,self,'Details are. fixed my own stupid typo bug in AbstractReferralPlugin.' 
1328005_2,ob,'I guess I will have to better package my exported interfaces in order not to get this ugly linkage exception then.' 
408690_3,ob,'Re OpenID Provider. I assume for testing purposes a stupid provider might do it right .' 
646302_1,ob,'I had used a stupid custom Partitioner simply switching to HashPartitioner did the trick.' 
303770_1,ob,'Same issue on ubuntu 11.10. autoconf GNU Autoconf 2.68 automake GNU automake 1.11.1 gcc UbuntuLinaro 4.6.19ubuntu3 4.6.1 Adding DHAVE_INTTYPES_H to my Makefile helps but it's ugly.' 
1324553_10,ob,'That simple change would require translation of all resource bundles or leave the ugly line in the original resource bundle. Framework has been stopped.=The OSGi framework has been stopped.' 
1690579_1,ob,'this is a stupid patch for the current issue it will not prevent all the crashing.' 
414019_31,ob,'It also seemed like the crypter was a terrible place to be doing this.' 
1147009_4,self,'Sorry for the naiveness I didn't know that Hudson was triggered by the 'Patch Available' status... skipped an important section in the wiki page shame on me.'  
317545_3,ob,'It's just going to be annoying when I notice it again but more than one workaround are possible.' 
1193497_1,self,'Sorry for my stupid mistake I really believed I had the filenames right. it is working as it should when the filenames were corrected.' 
810151_1,self,'Oh my shame on me.' 
256441_2,ob,'I always turn it off and it's quite annoying when I forget.' 
427205_2,ob,'It's cryptic and ugly for users and really doesn't tell them what they should do about the problem.' 
669951_4,oth,'Robert you're blaming Uwe for your own future bad behavior when he threatens to use your tactics against you.' 
681099_12,ob,'7 > I really really really really hate libraries that print something I didn't ask them for.'  
818564_3,ob,'Please sanity check I am not familiar enough with ant so I could have missed something... it is sometimes annoying that each 'ant test ...' cleans and rebuilds the tests.' 
403230_1,ob,'Yes it is harmless exception but given that upload file is very frequent operation it becomes ugly.' 
321131_5,ob,'What's annoying is that I had to override PageLink ActionLink EventLink and Form to take a map of query parameters to add to the URL.'  
1695157_2,ob,'I am attaching a somewhat ugly log from my 1.1 client test bed. ' 
317376_1,ob,'What's annoying is that the main complaint is that the artifact can't be found even though the POM contains the repository reference. <repositories> <repository> <id>mavenplayplugin<id> <name>Maven Play Plugin<name> <url> http.mavenplayplugin.googlecode.comsvnmavenreporeleases <url> <repository> <repositories> ' 
338289_1,self,'I'm stupid and forgot what file this bug was talking about I wrote up the description for this in an email a few weeks back.' 
734624_1,self,'Shame on me lack of a nice formatter I made an error with getting the month. Date.getMonth returns 0 to 11 not 1 to 12.'  
1024732_5,ob,'I did it previously but it was an ugly hack something I'd not like to repeat.' 
254491_3,ob,'Really annoying...' 
320389_2,ob,'I'm developing my own application over 1 year in tapestry 5 with extensive use of javascript and it drives me really mad to reimplement parts of my javascripts each time when tapestry updates from 5.1.0.x to 5.1.0.x+1.' 
309786_3,ob,'I'll check the modeline because I do hate the 'comment fix'.' 
811834_5,self,'Obviously there are no params for the state stupid me.' 
329492_1,ob,'So dumb question.' 
316192_2,ob,'This is really ugly because it requires to 'copy' the whole code and make some additions.' 
689482_1,ob,'michael i guess junit from my eclipse .= junit from ant because it passes in eclipse...annoying I will fix the test so it runs correctly from ant.'  
307540_12,ob,' Some of the code is pretty ugly and there are no test cases defined.' 
253514_3,ob,'Here's some information about this process. https.cwiki.apache.orgUIMAbuildingeclipsepluginswithmavenbundlepluginandfriends.html I also think that this process is quite annoying because everytime m2e gets the idea of building the uimajeptextmarkerengine or the uimajepruntime project it breaks both jars since the unpackdependencies is deativated.'  
676191_1,ob,'We removed support for stupid GZIP compression support in stored fields in 3.0.' 
736384_2,self,'How stupid of me.' 
1691543_1,ob,'Slightly better but still ugly patch.'  
315849_1,self,'OMG....I kept ignoring the little voice in my head that kept telling me to go look at the portlet code because I rememered reading something about being able to render different response types to different portions of a page.' 
707984_1,self,'head desk That was a stupid mistake on my part.' 
2051552_1,ob,'This is indeed quite annoying since the eclipse classpath gets polluted you can accidentially use classes from the runtime deps in the code and you are in for surprises if you compile with maven only.'  
314650_1,oth,'Seems like that this browser bug in IE is still not fixed even in IE7 I hate those MS guys http.support.microsoft.comdefault.aspx.scid=kbenus276228 This causes the problem because the SELECT boxes are updated via innerHTML. ' 
305687_8,ob,'Might be more trouble than it's worth but I'd hate to have to keep track of the same bugfixes in two locations.' 
944255_2,ob,'Now come the dumb questions.' 
427978_1,self,'CORRECTIONADDENDUM. It's late and I'm doing stupid typos.' 
409662_1,self,'How stupid of me I coded this and when looking for why the source file is not around anymore I did not see it ....' 
742492_1,self,'Hmm looks like I made a dumb error there is no close call on the query executor in my test code which causes it to be left open until such time as it gets GCd on the client.'  
642768_11,ob,'I'm actually forcing myself to deal with the fact that the world has decided on the horrible vertically misaligned braces choice every day maybe that makes me blind to other style issues.' 
319632_2,ob,'Time zones are almost as ugly to work with as character sets.' 
315478_2,ob,'Of course urls for static resources in normal servlet apps that contain the jsessionid param are 100 valid but if you ask me really ugly.' 
1034810_1,self,'My test case was a false positive stupid mistake on my part. ' 
477261_3,ob,'The refactoring of BC slowly becoming annoying.' 
1698782_2,ob,'Sorry I couldn't write before I hate Mondays.' 
684490_1,ob,'I'll take a look anyway too bad I can't find my stupid automata text book already bought the stupid thing twice in my life.' 
653763_5,ob,'My antfoo is too weak for me to be sure I didn't set up some kind of horrible circular dependency that hasn't hit me.' 
738547_1,self,'Attached the psml page in question incase I have done something stupid spelling errors or other such inspite of my checking ' 
413403_3,ob,'We have certainly made some progress on some process related things but the site and documentation are still terrible.' 
798922_3,self,'So everything is fine .. stupid me.' 
398784_1,ob,'We're having this annoying trace too. ' 
807405_1,self,'omg I'm very sorry forgive my ignorance.' 
317577_2,ob,'Its an ugly solution but seems to work as a stop gap.' 
309672_8,ob,'The problem here is that dict are mutable as well they are unhashable. d1 = dicta=1 set[d1] Traceback most recent call last.  File '<stdin>' line 1 in <module> TypeError. dict objects are unhashable So the only workaround is to use a tuple as they're immutable holding two integers to represent uuids but it's kinda ugly.'
510014_1,self,'Well ahm before everyones rotflol or something similar shame on my head my little testprogramm was terribly wrong in two ways actually.' 
324280_1,ob,'Please also try to login with other user than admin for example user1 password since plain users differently from admin have a link to edit their own profile. the result is quite ugly ATM.'  
347703_1,ob,'[jarcec] I thought it wasn't giving me a way to add reviewers but it turns out the interface is just terrible andor I'm an idiot.'  
312730_4,ob,'Hopefully it won't come to that because that's an ugly solution code that uses ClassFactory would have an additional requirement to manage a mutex.' 
984747_5,ob,'Its super ugly that you have to parse exception message to get exception data member fields... but thats not your fault.' 
811245_24,ob,'Do you > think there is way doing without that ugly HttpMethodBase cast.' 
728587_2,ob,'The perms on mino are ok some stupid bug we can't track down.' 
335233_3,ob,'We will not wrap code in empty try catch blocks because that is a terrible coding practice.' 
1334410_3,ob,'After some more investigation I found a stupid bug in our system that was deliberately throwing away the original email from the reply.' 
356415_7,ob,'You need to have people with a real security background who know what the fuck they are doing to ensure correctness.' 
319756_2,ob,'That stupid m2eclipse was using a snapshot from december instead of updating it to the most recent and I had workspace resolution turned off.' 
1089377_6,ob,'My memory is sketchy but I was having terrible problems writing a matrix of tests for SIMPLEPLAINKERBEROSTOKEN client & server interactions.' 
315391_11,ob,'I'd also hate to have to go back to .page and .jwc files since there are so many files that I've changed.' 
375674_2,ob,'Stupid OS X and it's refusal to properly support 1.5' 
256979_2,ob,'However an ugly exception was logged in the aggregate client's logfile. {code} Hopefully there is some way to tell the spring listener not to do this.' 
319274_1,self,'shame on me.' 
306885_4,ob,'That is going to be pretty annoying since it doesn't allow for a graceful upgrade.' 
1130184_1,self,'4703_20081120_0.18.patch. for 0.18 I hate that I typed an incorrect jira number in my previous file name.' 
2044553_7,ob,'This is really annoying as I've learned to use the custombeans a lot and now I can't edit any form I need to move the form to another temporary project in order to edit it.' 
598997_39,ob,'Not difficult to do but it is annoying.' 
401264_2,ob,'The code is horrible JmsTemplate102 not much help but the hopefully you can do better than me.' 
309745_1,ob,'I hate to see this patch languishing here.' 
254457_2,ob,'I was selecting type systems today for at least half an hour a bit annoying.' 
1190733_2,self,'I did a stupid mistake.' 
344967_2,ob,'I just can't reproduce it and I'm not seeing it in server error logs so I'm just giving up on this bug.'  
253836_9,ob,'And the resulting projectpom would contain some ugly folder structure and listings of calls for different versions.' 
649429_5,ob,'Personally I hate that coz the code base just bloats when number of MR jobs increase.' 
1085726_3,ob,'I have a few commentsquestions. Parsing the MapReduce job name out of the DFSClient name is kind of an ugly hack.' 
419548_1,self,'Oops I'm a dumb azz.' 
1726741_2,self,'I feel like this patch I'm providing is really dumb because it introduces another profile for no sake other than the name.' 
331018_2,ob,'And the annoying thing is that to support catalogname lookups either need two properties or an unreleased version of chain which has a syntax for splitting a single string 'catalog.command'.' 
320831_4,ob,'That is very ugly since I had to hardcode the event link in order to make it send the event to the Select object because it has the necessary code to inject any input tag to its containing form in the onChange method or otherwise I'd get the 'component must be enclosed by a Form component' error.' 
965843_2,ob,'That was me with stupid svn.' 
411734_2,ob,'Those were annoying.' 
250458_2,ob,'.  http.bugs.sun.combugdatabaseview_bug.do.bug_id=4283544 In order to bypass that some ugly setAccessibletrue will be needed.' 
587559_1,self,'Sorry for this dumb mistake.' 
396204_4,ob,'It's easy to fix work around add this dependency explicitly into our feature file but it's annoying... Best Christian'  
