myunique_id,myanger_direction,mydeveloper_comment
227345_1,ob,'the recommendation in the wiki is bad.'      
353052_1,ob,'BTW: This is one reason why I hate this autoboxing shit since Java 5. I would love to have a way to prevent it in code (forbidden checks should detect this somehow).'      
2470534_1,ob,'That sucks  why isn\'t the escape mechanism working?'     
422120_1,ob,'This is a pretty awful bug.'      
653972_4,ob,'-1 to jar hell.'      
193462_1,ob,'This really sucks!'      
1808616_1,ob,'Stupid Maven'      
484844_2,ob,'I always get the same stupid error.'      
379645_2,ob,'Indeed that would be VERY bad design.'      
709675_2,ob,'I\'m starting to think of \'DLL Hell.\''      
1805685_2,ob,'I am currently trying to get it into AJDT dev builds but my git push is timing out (damn thing!'      
1575813_1,ob,'Wow  it\'s like Thrift is going out of their way to make life suck for us this month.'     
2268304_1,ob,'This sucks badly.'      
2264018_2,ob,'That irritated the hell out of me too  but I didn\'t realise it was configurable in the .launch file.'     
564075_2,ob,'HTML is quite uncomfortable to work with.'      
1600589_7,ob,'The food is very bad.'      
2350557_2,ob,'Finally closing this bug from hell.'      
689700_12,ob,'How on earth is it buggy?'      
1197428_8,ob,'Tabs are evil.'      
1742310_1,ob,'Wow  that was some bad copy/paste work.'     
2127189_2,ob,'This sucks *so much*...'      
289511_5,ob,'Bad IE.'      
313850_1,ob,'durrrh  that sucks.'     
822155_2,ob,'Since this patch is so damn large already I won\'t be making anymore changes to this other than critical/blocker bug fixes.'      
1574716_1,ob,'Well  that sucks.'     
711427_1,ob,'> I hated that aspect of working for commercial companies.'      
1099350_2,ob,'Blooper after blooper - I hate SVN.'      
1582964_1,ob,'The Async API in http client 4.x really sucks.'      
1687818_1,ob,'It seems some of the wrappers in ink_hrtime.h() might no longer be used either  e.g. ink_gettimeofday() is never used  so lets get rid of that shit.'    
1078380_4,ob,'Sorry but this is just stupid.'      
715083_3,ob,'This sucks.'      
2132048_1,ob,'Damn  I would close this out from the fix to JBSEAM-3742  except the quartz and seampay examples use a custom XML namespace and the XML schema validator is not happy with that.'    
320617_4,ob,'Im stuck with IE6 unfortunately.'      
2085431_2,ob,'It really sucks that there is now way currently to include transitive dependencies.'      
2153268_1,ob,'Damn  it seemed it didn\'t work.'     
1625109_6,ob,'I just hate having no clue what a file is really depending on ;)'
