seqn.,myunique_id,myanger_direction,Target,mydeveloper_comment,R11,R12,R31,R32,R51,R52,POS,DEP,Targets
11,1569844_1,oth,you/you,'Just to clarify... you made the DTPE handle exceptions the same way as CassandraDaemon by updating it to use NBHS instead of CSLS... Did you just tell me to go fuck myself?',,,,,you ,,"[(""'"", '``'), ('Just', 'RB'), ('to', 'TO'), ('clarify', 'VB'), ('...', ':'), ('you', 'PRP'), ('made', 'VBD'), ('the', 'DT'), ('DTPE', 'NNP'), ('handle', 'VB'), ('exceptions', 'NNS'), ('the', 'DT'), ('same', 'JJ'), ('way', 'NN'), ('as', 'IN'), ('CassandraDaemon', 'NNP'), ('by', 'IN'), ('updating', 'VBG'), ('it', 'PRP'), ('to', 'TO'), ('use', 'VB'), ('NBHS', 'NNP'), ('instead', 'RB'), ('of', 'IN'), ('CSLS', 'NNP'), ('...', 'NFP'), ('Did', 'VBD'), ('you', 'PRP'), ('just', 'RB'), ('tell', 'VB'), ('me', 'PRP'), ('to', 'TO'), ('go', 'VB'), ('fuck', 'VB'), ('myself', 'PRP'), ('?', '.'), (""'"", ""''"")]","[('ROOT', 0, 7), ('punct', 7, 1), ('advmod', 4, 2), ('mark', 4, 3), ('dep', 7, 4), ('punct', 7, 5), ('nsubj', 7, 6), ('det', 9, 8), ('nsubj', 10, 9), ('ccomp', 7, 10), ('iobj', 10, 11), ('det', 14, 12), ('amod', 14, 13), ('obj', 10, 14), ('case', 16, 15), ('nmod', 14, 16), ('case', 18, 17), ('advcl', 10, 18), ('obj', 18, 19), ('mark', 21, 20), ('xcomp', 18, 21), ('obj', 21, 22), ('case', 25, 23), ('fixed', 23, 24), ('obl', 21, 25), ('punct', 7, 26), ('aux', 30, 27), ('nsubj', 30, 28), ('advmod', 30, 29), ('dep', 7, 30), ('obj', 30, 31), ('mark', 33, 32), ('xcomp', 30, 33), ('xcomp', 33, 34), ('obj', 34, 35), ('punct', 7, 36), ('punct', 7, 37)]",
12,331800_3,oth,they,'They do not vote theywhine that something or everything sucks.',,,,,,,"[(""'"", '``'), ('They', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('vote', 'VB'), ('theywhine', 'NN'), ('that', 'IN'), ('something', 'NN'), ('or', 'CC'), ('everything', 'NN'), ('sucks', 'VBZ'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 5), ('punct', 5, 1), ('nsubj', 5, 2), ('aux', 5, 3), ('advmod', 5, 4), ('obj', 5, 6), ('mark', 11, 7), ('nsubj', 11, 8), ('cc', 10, 9), ('conj', 8, 10), ('ccomp', 6, 11), ('punct', 5, 12), ('punct', 5, 13)]",you 
13,579540_1,oth,you,'Oleg please accept that my 'logical' is different from your 'logical'.',,,,,,,"[(""'"", '``'), ('Oleg', 'NNP'), ('please', 'UH'), ('accept', 'VB'), ('that', 'IN'), ('my', 'PRP$'), (""'"", '``'), ('logical', 'JJ'), (""'"", ""''""), ('is', 'VBZ'), ('different', 'JJ'), ('from', 'IN'), ('your', 'PRP$'), (""'"", '``'), ('logical', 'JJ'), (""'"", ""''""), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 4), ('punct', 4, 1), ('nsubj', 4, 2), ('discourse', 4, 3), ('mark', 11, 5), ('nmod:poss', 8, 6), ('punct', 8, 7), ('nsubj', 11, 8), ('punct', 8, 9), ('cop', 11, 10), ('ccomp', 4, 11), ('case', 15, 12), ('nmod:poss', 15, 13), ('punct', 15, 14), ('obl', 11, 15), ('punct', 15, 16), ('punct', 4, 17), ('punct', 4, 18)]",
14,2014921_2,oth,you,'What the hell are you waiting for ?',,,,,you ,,"[(""'"", '``'), ('What', 'WP'), ('the', 'DT'), ('hell', 'NN'), ('are', 'VBP'), ('you', 'PRP'), ('waiting', 'VBG'), ('for', 'IN'), ('?', '.'), (""'"", ""''"")]","[('ROOT', 0, 7), ('punct', 7, 1), ('det', 4, 2), ('det', 4, 3), ('obj', 7, 4), ('aux', 7, 5), ('nsubj', 7, 6), ('advmod', 7, 8), ('punct', 7, 9), ('punct', 7, 10)]",
15,796834_9,oth,everyone,'Unfortunately in these days where everyone that can put a CDthe right way up in a drive is a Linux/Unix/Windows/Internet Expert this has become pretty common.',,,,,,,"[(""'"", '``'), ('Unfortunately', 'RB'), ('in', 'IN'), ('these', 'DT'), ('days', 'NNS'), ('where', 'WRB'), ('everyone', 'NN'), ('that', 'WDT'), ('can', 'MD'), ('put', 'VB'), ('a', 'DT'), ('CDthe', 'NNP'), ('right', 'JJ'), ('way', 'NN'), ('up', 'RB'), ('in', 'IN'), ('a', 'DT'), ('drive', 'NN'), ('is', 'VBZ'), ('a', 'DT'), ('Linux', 'NNP'), ('/', 'HYPH'), ('Unix', 'NNP'), ('/', 'HYPH'), ('Windows', 'NNP'), ('/', ','), ('Internet', 'NNP'), ('Expert', 'NNP'), ('this', 'DT'), ('has', 'VBZ'), ('become', 'VBN'), ('pretty', 'RB'), ('common', 'JJ'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('advmod', 5, 2), ('case', 5, 3), ('det', 5, 4), ('obl', 28, 5), ('advmod', 10, 6), ('nsubj', 10, 7), ('nsubj', 10, 8), ('aux', 10, 9), ('acl:relcl', 5, 10), ('det', 14, 11), ('compound', 14, 12), ('amod', 14, 13), ('obj', 10, 14), ('compound:prt', 10, 15), ('case', 18, 16), ('det', 18, 17), ('obl', 10, 18), ('cop', 28, 19), ('det', 28, 20), ('compound', 25, 21), ('punct', 25, 22), ('compound', 25, 23), ('punct', 25, 24), ('compound', 28, 25), ('punct', 28, 26), ('compound', 28, 27), ('dep', 1, 28), ('nsubj', 31, 29), ('aux', 31, 30), ('parataxis', 28, 31), ('advmod', 33, 32), ('xcomp', 31, 33), ('punct', 28, 34), ('punct', 28, 35)]",you 
16,1832159_1,oth,they,'Why the hell do they deliver Duration if they cannot instantiate it -/',,,,,they ,,"[(""'"", '``'), ('Why', 'WRB'), ('the', 'DT'), ('hell', 'NN'), ('do', 'VBP'), ('they', 'PRP'), ('deliver', 'VB'), ('Duration', 'NNP'), ('if', 'IN'), ('they', 'PRP'), ('can', 'MD'), ('not', 'RB'), ('instantiate', 'VB'), ('it', 'PRP'), ('-', 'SYM'), ('/', 'HYPH'), (""'"", 'SYM')]","[('ROOT', 0, 1), ('advmod', 7, 2), ('det', 4, 3), ('dep', 7, 4), ('aux', 7, 5), ('nsubj', 7, 6), ('dep', 1, 7), ('obj', 7, 8), ('mark', 13, 9), ('nsubj', 13, 10), ('aux', 13, 11), ('advmod', 13, 12), ('advcl', 7, 13), ('obj', 13, 14), ('dep', 13, 15), ('punct', 7, 16), ('dep', 7, 17)]",
17,1462478_4,oth,you,'Then you are pretty well screwed.',,,,,,,"[(""'"", '``'), ('Then', 'RB'), ('you', 'PRP'), ('are', 'VBP'), ('pretty', 'RB'), ('well', 'RB'), ('screwed', 'VBN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 7), ('punct', 7, 1), ('advmod', 7, 2), ('nsubj:pass', 7, 3), ('aux:pass', 7, 4), ('advmod', 6, 5), ('advmod', 7, 6), ('punct', 7, 8), ('punct', 7, 9)]",they 
18,706069_21,oth,you,'But please do not say that my reasoning is bad because it is not.',,,,,,it ,"[(""'"", '``'), ('But', 'CC'), ('please', 'UH'), ('do', 'VB'), ('not', 'RB'), ('say', 'VB'), ('that', 'IN'), ('my', 'PRP$'), ('reasoning', 'NN'), ('is', 'VBZ'), ('bad', 'JJ'), ('because', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('not', 'RB'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 6), ('punct', 6, 1), ('cc', 6, 2), ('discourse', 6, 3), ('aux', 6, 4), ('advmod', 6, 5), ('mark', 11, 7), ('nmod:poss', 9, 8), ('nsubj', 11, 9), ('cop', 11, 10), ('ccomp', 6, 11), ('mark', 15, 12), ('nsubj', 15, 13), ('cop', 15, 14), ('advcl', 11, 15), ('punct', 6, 16), ('punct', 6, 17)]",
19,711843_8,oth,generic you,'Then to make matters worse since the mid-1990 is I have been offering pro bono advice to non-profit foundations whose members insult me regularly and assume I am an amateur. ',,,,,,,"[(""'"", '``'), ('Then', 'RB'), ('to', 'TO'), ('make', 'VB'), ('matters', 'NNS'), ('worse', 'JJR'), ('since', 'IN'), ('the', 'DT'), ('mid-1990', 'NN'), ('is', 'VBZ'), ('I', 'PRP'), ('have', 'VBP'), ('been', 'VBN'), ('offering', 'VBG'), ('pro', 'FW'), ('bono', 'FW'), ('advice', 'NN'), ('to', 'IN'), ('non-profit', 'JJ'), ('foundations', 'NNS'), ('whose', 'WP$'), ('members', 'NNS'), ('insult', 'VBP'), ('me', 'PRP'), ('regularly', 'RB'), ('and', 'CC'), ('assume', 'VB'), ('I', 'PRP'), ('am', 'VBP'), ('an', 'DT'), ('amateur', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 4), ('punct', 4, 1), ('advmod', 4, 2), ('mark', 4, 3), ('nsubj', 6, 5), ('xcomp', 4, 6), ('mark', 14, 7), ('det', 9, 8), ('nsubj', 14, 9), ('aux', 14, 10), ('nsubj', 14, 11), ('aux', 14, 12), ('aux', 14, 13), ('advcl', 4, 14), ('compound', 17, 15), ('compound', 17, 16), ('obj', 14, 17), ('case', 20, 18), ('amod', 20, 19), ('nmod', 17, 20), ('nmod:poss', 22, 21), ('nsubj', 23, 22), ('dep', 20, 23), ('obj', 23, 24), ('advmod', 23, 25), ('cc', 27, 26), ('conj', 23, 27), ('nsubj', 31, 28), ('cop', 31, 29), ('det', 31, 30), ('ccomp', 27, 31), ('punct', 4, 32), ('punct', 4, 33)]",it 
20,1014870_9,oth,you,'You are messing down deep below hbase in dfs.',,,,,,,"[(""'"", '``'), ('You', 'PRP'), ('are', 'VBP'), ('messing', 'VBG'), ('down', 'RB'), ('deep', 'RB'), ('below', 'IN'), ('hbase', 'NN'), ('in', 'IN'), ('dfs', 'NNS'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('nsubj', 4, 2), ('aux', 4, 3), ('dep', 1, 4), ('advmod', 4, 5), ('advmod', 8, 6), ('case', 8, 7), ('obl', 5, 8), ('case', 10, 9), ('obl', 4, 10), ('punct', 4, 11), ('punct', 4, 12)]",
21,654182_1,oth,who,'who the fuck is asking for scores but not the max score and why does their insanely specialized use case justify all these booleans on a central lucene class.',,,,,,,"[(""'"", '``'), ('who', 'WP'), ('the', 'DT'), ('fuck', 'VB'), ('is', 'VBZ'), ('asking', 'VBG'), ('for', 'IN'), ('scores', 'NNS'), ('but', 'CC'), ('not', 'RB'), ('the', 'DT'), ('max', 'NN'), ('score', 'NN'), ('and', 'CC'), ('why', 'WRB'), ('does', 'VBZ'), ('their', 'PRP$'), ('insanely', 'RB'), ('specialized', 'VBN'), ('use', 'NN'), ('case', 'NN'), ('justify', 'VB'), ('all', 'PDT'), ('these', 'DT'), ('booleans', 'NNS'), ('on', 'IN'), ('a', 'DT'), ('central', 'JJ'), ('lucene', 'NN'), ('class', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('obj', 6, 2), ('nsubj', 6, 3), ('amod', 3, 4), ('aux', 6, 5), ('dep', 1, 6), ('case', 8, 7), ('obl', 6, 8), ('cc', 13, 9), ('advmod', 13, 10), ('det', 13, 11), ('compound', 13, 12), ('conj', 8, 13), ('cc', 22, 14), ('advmod', 22, 15), ('aux', 22, 16), ('nmod:poss', 21, 17), ('advmod', 19, 18), ('amod', 21, 19), ('compound', 21, 20), ('nsubj', 22, 21), ('conj', 6, 22), ('det:predet', 25, 23), ('det', 25, 24), ('obj', 22, 25), ('case', 30, 26), ('det', 30, 27), ('amod', 30, 28), ('compound', 30, 29), ('obl', 22, 30), ('punct', 6, 31), ('punct', 6, 32)]",
22,711843_9,oth,someone,'Someone but I am not sure who owes me a public apology here. /Larry ',,,,,who ,,"[(""'"", '``'), ('Someone', 'NN'), ('but', 'CC'), ('I', 'PRP'), ('am', 'VBP'), ('not', 'RB'), ('sure', 'JJ'), ('who', 'WP'), ('owes', 'VBZ'), ('me', 'PRP'), ('a', 'DT'), ('public', 'JJ'), ('apology', 'NN'), ('here', 'RB'), ('.', '.'), ('/', 'NFP'), ('Larry', 'NNP'), (""'"", ""''"")]","[('ROOT', 0, 1), ('dep', 1, 2), ('cc', 7, 3), ('nsubj', 7, 4), ('cop', 7, 5), ('advmod', 7, 6), ('conj', 2, 7), ('nsubj', 9, 8), ('ccomp', 7, 9), ('iobj', 9, 10), ('det', 13, 11), ('amod', 13, 12), ('obj', 9, 13), ('advmod', 9, 14), ('punct', 2, 15), ('ROOT', 0, 2), ('punct', 2, 1), ('punct', 2, 3)]",
23,571429_3,oth,you,'Do nothing Are you serious about that?',,,,,,,"[(""'"", '``'), ('Do', 'VB'), ('nothing', 'NN'), ('Are', 'VBP'), ('you', 'PRP'), ('serious', 'JJ'), ('about', 'IN'), ('that', 'DT'), ('?', '.'), (""'"", ""''"")]","[('ROOT', 0, 6), ('punct', 6, 1), ('aux', 6, 2), ('nsubj', 6, 3), ('cop', 6, 4), ('nsubj', 6, 5), ('case', 8, 7), ('obl', 6, 8), ('punct', 6, 9), ('punct', 6, 10)]",who 
24,985359_2,self,I,'I should have been very careful before doing this.',,,,,,,"[(""'"", '``'), ('I', 'PRP'), ('should', 'MD'), ('have', 'VB'), ('been', 'VBN'), ('very', 'RB'), ('careful', 'JJ'), ('before', 'IN'), ('doing', 'VBG'), ('this', 'DT'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 7), ('punct', 7, 1), ('nsubj', 7, 2), ('aux', 7, 3), ('aux', 7, 4), ('cop', 7, 5), ('advmod', 7, 6), ('case', 9, 8), ('advcl', 7, 9), ('obj', 9, 10), ('punct', 7, 11), ('punct', 7, 12)]",
25,1398734_5,self,I,'I have stupidly deleted the original test dir but judging from the suite is output files no output was created after 3 1/2 hours.',,,,,I ,,"[(""'"", '``'), ('I', 'PRP'), ('have', 'VBP'), ('stupidly', 'RB'), ('deleted', 'VBN'), ('the', 'DT'), ('original', 'JJ'), ('test', 'NN'), ('dir', 'NN'), ('but', 'CC'), ('judging', 'VBG'), ('from', 'IN'), ('the', 'DT'), ('suite', 'NN'), ('is', 'VBZ'), ('output', 'NN'), ('files', 'NNS'), ('no', 'DT'), ('output', 'NN'), ('was', 'VBD'), ('created', 'VBN'), ('after', 'IN'), ('3 1/2', 'CD'), ('hours', 'NNS'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 17), ('punct', 5, 1), ('nsubj', 5, 2), ('aux', 5, 3), ('advmod', 5, 4), ('csubj', 17, 5), ('det', 9, 6), ('amod', 9, 7), ('compound', 9, 8), ('obj', 5, 9), ('cc', 11, 10), ('conj', 5, 11), ('case', 14, 12), ('det', 14, 13), ('obl', 11, 14), ('cop', 17, 15), ('compound', 17, 16), ('det', 19, 18), ('nsubj:pass', 21, 19), ('aux:pass', 21, 20), ('parataxis', 17, 21), ('case', 24, 22), ('nummod', 24, 23), ('obl', 21, 24), ('punct', 17, 25), ('punct', 17, 26)]",
26,987223_1,self,I,'Matt... I am an idiot I used the wrong patch. Sigh.',,,,,I ,I ,"[(""'"", '``'), ('Matt', 'NNP'), ('...', ':'), ('I', 'PRP'), ('am', 'VBP'), ('an', 'DT'), ('idiot', 'NN'), ('I', 'PRP'), ('used', 'VBD'), ('the', 'DT'), ('wrong', 'JJ'), ('patch', 'NN'), ('.', '.'), ('Sigh', 'UH'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 7), ('punct', 7, 1), ('nsubj', 7, 2), ('punct', 7, 3), ('nsubj', 7, 4), ('cop', 7, 5), ('det', 7, 6), ('nsubj', 9, 8), ('parataxis', 7, 9), ('det', 12, 10), ('amod', 12, 11), ('obj', 9, 12), ('punct', 7, 13), ('ROOT', 0, 1), ('punct', 1, 2), ('ROOT', 0, 1)]",I 
27,2120525_2,self,I,'Please close as this is just me being stupid.',,,,,,,"[(""'"", '``'), ('Please', 'UH'), ('close', 'VB'), ('as', 'IN'), ('this', 'DT'), ('is', 'VBZ'), ('just', 'RB'), ('me', 'PRP'), ('being', 'VBG'), ('stupid', 'JJ'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 3), ('punct', 3, 1), ('discourse', 3, 2), ('mark', 10, 4), ('nsubj', 10, 5), ('cop', 10, 6), ('advmod', 10, 7), ('nsubj', 10, 8), ('cop', 10, 9), ('advcl', 3, 10), ('punct', 3, 11), ('punct', 3, 12)]",I I 
28,797123_1,self,I ,'I am an idiot.',,,,,,I ,"[(""'"", '``'), ('I', 'PRP'), ('am', 'VBP'), ('an', 'DT'), ('idiot', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 5), ('punct', 5, 1), ('nsubj', 5, 2), ('cop', 5, 3), ('det', 5, 4), ('punct', 5, 6), ('punct', 5, 7)]",
29,2096621_2,self,I ,'I am an idiot... there is nothing wrong with the readme.txt.',,,,,,I ,"[(""'"", '``'), ('I', 'PRP'), ('am', 'VBP'), ('an', 'DT'), ('idiot', 'NN'), ('...', ','), ('there', 'EX'), ('is', 'VBZ'), ('nothing', 'NN'), ('wrong', 'JJ'), ('with', 'IN'), ('the', 'DT'), ('readme.txt', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('nsubj', 5, 2), ('cop', 5, 3), ('det', 5, 4), ('dep', 1, 5), ('punct', 5, 6), ('expl', 8, 7), ('parataxis', 5, 8), ('nsubj', 8, 9), ('amod', 9, 10), ('case', 13, 11), ('det', 13, 12), ('nmod', 9, 13), ('punct', 5, 14), ('punct', 5, 15)]",I 
30,155457_1,self,I ,'Ok here is a patch that works. I was stupid enough not to see it...',,,,,,,"[(""'"", '``'), ('Ok', 'UH'), ('here', 'RB'), ('is', 'VBZ'), ('a', 'DT'), ('patch', 'NN'), ('that', 'WDT'), ('works', 'VBZ'), ('.', '.'), ('I', 'PRP'), ('was', 'VBD'), ('stupid', 'JJ'), ('enough', 'RB'), ('not', 'RB'), ('to', 'TO'), ('see', 'VB'), ('it', 'PRP'), ('...', ':'), (""'"", ""''"")]","[('ROOT', 0, 6), ('punct', 6, 1), ('discourse', 6, 2), ('nsubj', 6, 3), ('cop', 6, 4), ('det', 6, 5), ('nsubj', 8, 7), ('dep', 6, 8), ('punct', 6, 9), ('ROOT', 0, 3), ('nsubj', 3, 1), ('cop', 3, 2), ('advmod', 7, 4), ('advmod', 7, 5), ('mark', 7, 6), ('dep', 3, 7), ('obj', 7, 8), ('punct', 3, 9), ('punct', 3, 10)]",I 
31,1029542_1,self,I ,'i suck.',,,,,,,"[(""'"", '``'), ('i', 'PRP'), ('suck', 'VBP'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 3), ('punct', 3, 1), ('nsubj', 3, 2), ('punct', 3, 4), ('punct', 3, 5)]",
32,798939_1,self,I ,'Shit I missed a cast.',,,,,I ,,"[(""'"", '``'), ('Shit', 'NN'), ('I', 'PRP'), ('missed', 'VBD'), ('a', 'DT'), ('cast', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 4), ('punct', 4, 1), ('nsubj', 4, 2), ('nsubj', 4, 3), ('det', 6, 5), ('obj', 4, 6), ('punct', 4, 7), ('punct', 4, 8)]",
33,1769700_1,self,I ,'What a stupid name I chose for that object... -',,,,,I ,,"[(""'"", '``'), ('What', 'WP'), ('a', 'DT'), ('stupid', 'JJ'), ('name', 'NN'), ('I', 'PRP'), ('chose', 'VBD'), ('for', 'IN'), ('that', 'DT'), ('object', 'NN'), ('...', ':'), ('-', 'HYPH'), (""'"", ""''"")]","[('ROOT', 0, 1), ('det', 5, 2), ('det', 5, 3), ('amod', 5, 4), ('obj', 7, 5), ('nsubj', 7, 6), ('dep', 1, 7), ('case', 10, 8), ('det', 10, 9), ('obl', 7, 10), ('punct', 7, 11), ('punct', 7, 12), ('punct', 7, 13)]",I 
