Sentence,Target Gold,Extracted Target,Correct Target,Extracted Opinion,Note,Problem Cat.,POS,DEP
'Jira I wish you did not suck so much.' ,you (jira co-reference),['Jira'],['si'],['NA'],,,,
'That would suck.' ,that,['NA'],['no'],['NA'],,,,
'Ok wow welcome to Linux hell...' ,Linux,['NA'],['no'],['NA'],,,,
'I do not know how the hell my diff program decided to add seemingly random CR chars but I have removed them now.' ,my diff program,['chars'],['no'],['random'],,,,
'This way lies metadata hell.' ,nan,['NA'],['no'],['NA'],,,,
'This is always a really bad way to design software.' ,This (co-ref),['way'],['no'],['bad'],,,,
'Hmm ... this is quite bad.' ,this,['NA'],['no'],['NA'],,,,
'This just seems really evil.' ,This (co-ref resolution),['NA'],['no'],['NA'],,,,
'That is bad.' ,That (co-ref resolution),['NA'],['no'],['NA'],,,,
'And debugging is hell because the test environment needs to have the exact same loader setup.' ,Debugging,['NA'],['no'],"['same', 'exact']",,,,
'the recommendation in the wiki is bad.' ,Recommendation,['NA'],['no'],['NA'],,,,
'BTW This is one reason why I hate this autoboxing shit since Java 5. I would love to have a way to prevent it in code forbidden checks should detect this somehow.',This autoboxing shit,"['autoboxing', 'shit', 'reason', 'I']","['si', 'si', 'no', 'no']",['NA'],,,,
'That sucks why is not the escape mechanism working?' ,That,['NA'],['no'],['NA'],,,,
'This is a pretty awful bug.' ,This bug,['bug'],['si'],['awful'],,,,
'-1 to jar hell.',jar hell,['NA'],['no'],['NA'],,,,
'This really sucks!' ,This,['NA'],['no'],['NA'],,,,
'Stupid Maven' ,Maven (stupid maven),['Maven'],['si'],['NA'],,,,
'I always get the same stupid error.' ,Error (stupid error),"['error', 'I']","['si', 'no']","['same', 'stupid']",,,,
'Indeed that would be VERY bad design.' ,That (bad) design,['design'],['si'],['bad'],,,,
'I am starting to think of 'DLL Hell.'' ,DLL hell,['NA'],['no'],['NA'],,,,
'I am currently trying to get it into AJDT dev builds but my git push is timing out damn thing!' ,Thing,['NA'],['no'],['NA'],,,,
'Wow it is like Thrift is going out of their way to make life suck for us this month.' ,Thrift,['Thrift'],['si'],['NA'],,,,
'This sucks badly.' ,This,['NA'],['no'],['NA'],,,,
'That irritated the hell out of me too but I did not realise it was configurable in the .launch file.' ,That,"['hell', 'I']","['no', 'no']",['irritated'],,,,
'HTML is quite uncomfortable to work with.' ,HTML,['NA'],['no'],['NA'],,,,
'The food is very bad.' ,Food,['NA'],['no'],['NA'],,,,
'Finally closing this bug from hell.' ,Bug (from hell),['NA'],['no'],['NA'],,,,
'How on earth is it buggy?' ,It,['NA'],['no'],['NA'],,,,
'Tabs are evil.' ,Tabs,['NA'],['no'],['NA'],,,,
'Wow that was some bad copy/paste work.' ,That,['work'],['no'],['bad'],,,,
'This sucks so much...' ,This,['NA'],['no'],['NA'],,,,
'Bad IE.' ,IE (Bad IE),['IE'],['si'],['NA'],,,,
'durrrh that sucks.' ,That,['NA'],['no'],['NA'],,,,
'Since this patch is so damn large already I wo not be making anymore changes to this other than critical/blocker bug fixes.' ,This patch,"['blocker', 'blocker', 'fixes', 'bug']","['no', 'no', 'no', 'no']",['critical'],,,,
'Well that sucks.' ,That,['NA'],['no'],['NA'],,,,
' I hated that aspect of working for commercial companies.' ,That aspect,['NA'],['no'],['NA'],,,,
'Blooper after blooper I hate SVN.' ,SVN,['Blooper'],['no'],['NA'],,,,
'The Async API in http client 4.x really sucks.',The Async API,['NA'],['no'],['NA'],,,,
'It seems some of the wrappers in ink_hrtime.h might no longer be used either e.g. ink_gettimeofday is never used so lets get rid of that shit.' ,That shit ,['NA'],['no'],['NA'],,,,
'Sorry but this is just stupid.' ,This,['NA'],['no'],['stupid'],,,,
'This sucks.' ,This,['NA'],['no'],['NA'],,,,
'Damn I would close this out from the fix to JBSEAM-3742 except the quartz and seampay examples use a custom XML namespace and the XML schema validator is not happy with that.',This,"['fix', 'JBSEAM']","['no', 'no']",['damn'],,,,
'Im stuck with IE6 unfortunately.',IE6,['NA'],['no'],['NA'],,,,
'It really sucks that there is now way currently to include transitive dependencies.' ,It,['NA'],['no'],['NA'],,,,
'Damn it seemed it did not work.' ,It,['NA'],['no'],['NA'],,,,
'I just hate having no clue what a file is really depending on ' ,nan,['NA'],['no'],['NA'],,,,
' I used to be the latter but then I went to law school and got a degree in this shit. ' ,This (shit),['NA'],['no'],['NA'],,,,
'As far as the query shit i have no idea if solrdispatchfilter or whatever could/should do Thread.currentThread.setNamex or whatever and maybe restore after' ,Query shit,['i'],['no'],['NA'],,,,
'It sucks to lose the code readability but it seems like a reasonable price to pay.' ,It (to lose code readability),['price'],['no'],['reasonable'],,,,
'Qianshi is working on the SSL session reuse but this buggy Bug system does not allow him assign this ticket sigh' ,this (bug system),"['buggy', 'Bug', 'him']","['no', 'si', 'no']",['NA'],,,,
'Sigh I do not like this overall if ca not reuse everywhere.' ,this,['NA'],['no'],['NA'],,,,
'I found the sad attempt at a script you asked about and uploaded it to MAPREDUCE-4282.',attempt,"['attempt', 'I']","['si', 'no']",['sad'],,,,
'Kind of sucks.' ,(something) ,['NA'],['no'],['NA'],,,,
'The eclipse ui was completly stuck which was similiar to the other experinces.' ,Eclipse UI,['experinces'],['no'],['other'],,,,
'It also happens at the very startup after he has loaded only 3 sstables hence DataTracker likely have 3 sstables not a shit load.',Shit load,['NA'],['no'],['NA'],,,,
'If I can give you one advice on this one I would say this fuck Derby use H2 instead as the default embedded database.',Derby,['Derby'],['si'],['NA'],,,,
'The evil NPE strik back !!' ,(evil) NPE,['strik'],['no'],['evil'],,,,
'But even if it was not it would be totally worthless where it is at.' ,It (would be),['NA'],['no'],['NA'],,,,
'And I think if we are going to do a sweep up of shit we should just kill root.' ,nan,['NA'],['no'],['NA'],,,,
'which is silly bad package encapsulation.' ,Which,"['package', 'encapsulation']","['no', 'no']","['bad', 'silly']",,,,
'Negative I am against fetch groups in principle.' ,Fetch groups,['groups'],['si'],['NA'],,,,
'You would need to implement session resume thats a whole new can of worms.' ,That,['NA'],['no'],['NA'],,,,
'The rest are totally unrelated.' ,(the) rest,['NA'],['no'],['NA'],,,,
'A stupid bug in a patch that is already applied.' ,(stupid) bug,"['bug', 'bug']","['si', 'si']",['stupid'],,,,
'If so a test that succeeds with errors is confusing as hell...' ,Test,['NA'],['no'],['NA'],,,,
'+1 damn intellij it is not like patch format has not been standard for years',Intellij,['format'],['no'],['NA'],,,,
'This was very bad documented.' ,This,['NA'],['no'],['NA'],,,,
'guys... this is so stupid...' ,This ,['guys'],['no'],['NA'],,,,
'bq. this is solr is fault by having a getter that does some heavy duty xml shit.' ,This ,['bq'],['no'],['NA'],,,,
'Damn dyslexia!' ,Dyslexia,['dyslexia'],['si'],['damn'],,,,
'But I will quit committing to Hama then because I am not going to support ONLY a binary format.' ,nan,['NA'],['no'],['binary'],,,,
'Hell this is gonna take me a lot of work to raise.' ,This,['NA'],['no'],['NA'],,,,
'Oh man ... it is a fucking precendence problem.' ,It,['problem'],['no'],['fucking'],,,,
'I think we all know it just sucks.' ,It (sucks),['we'],['no'],['NA'],,,,
'Sun RI sucks why the hell is saveState and restoreState not called with with javax.faces.STATE_SAVING_METHOD = server???' ,Sun RI (sucks) ,['NA'],['no'],['NA'],,,,
'Well either you query the database every damn time and your plugin/tool/code will be super slow.' ,nan,"['tool', 'plugin']","['no', 'no']",['slow'],,,,
'It was a pretty stupid idea to use a static array of instances for QuorumOpMonitor.' ,It,"['idea', 'instances', 'QuorumOpMonitor']","['no', 'no', 'no']",['stupid'],,,,
' Also you are incorrect.' ,You,['NA'],['no'],['NA'],,,,
'Ahhh I am stupid it works with hbase-git repository.' ,I,['Ahhh'],['no'],['NA'],,,,
'correct we hate users and never do what they ask for.' ,Users,['we'],['no'],['NA'],,,,
'Damn acronyms Can you please elaborate on what does PIA mean?' ,Acronyms,"['acronyms', 'acronyms']","['si', 'si']",['damn'],,,,
'Everything works like a charm now even in stupid Explorer -' ,(stupid) explorer,"['Explorer', 'charm', 'Explorer']","['si', 'no', 'si']",['stupid'],,,,
'I gave up with Hibernate and switched to OpenJPA.' ,nan,['NA'],['no'],['NA'],,,,
'I stupidly did not cherry-pick my follow-up commit to 4.2.',I,['NA'],['no'],['NA'],,,,
'I would hate to see it slowed down in the name of type-safety esp in code that Solr users do not have to interface with.' ,it,"['code', 'name']","['no', 'no']",['NA'],,,,
'I am an idiot .. trying to catch up on mail i completely missread almost everything about this issue.' ,I,['idiot'],['no'],['NA'],,,,
'I am an idiot.' ,I,['NA'],['no'],['NA'],,,,
'I am frankly a bit stupid sometimes.' ,I,['NA'],['no'],['NA'],,,,
'I am stupid.' ,I,['NA'],['no'],['NA'],,,,
'If you do not really care about this or do not really want it go ahead and close this issue.' ,You,['NA'],['no'],['NA'],,,,
'If you have got data coming in that is a gigantic decimal and you are allowing that through and then you are also trying to turn decimals into strings...maybe you are getting what you asked for.' ,You,['NA'],['no'],['NA'],,,,
'Just a quick and petty comment + public static final String NEW_SEARCHER = 'newSrchr' + public static final String FIRST_SEARCHER = 'frstSrchr' No need to abbreviate so obtusely!' ,(implicito modo di abbreviare),"['FIRST_SEARCHER', 'NEW_SEARCHER', 'static', 'static', 'String']","['no', 'no', 'no', 'no', 'no']","['public', 'final']",,,,
'Making class attributes protected is evil and will not happen.' ,making,['attributes'],['no'],['NA'],,,,
'Man I am such an idiot.' ,I,['NA'],['no'],['NA'],,,,
'Not going to sit here and argue this.' ,(implicito),['NA'],['no'],['NA'],,,,
'oh ...geez I am an idiot.' ,I,['NA'],['no'],['NA'],,,,
'Or ask their engineers to fix their issue?' ,Engineers,['NA'],['no'],['NA'],,,,
'Problem was me being an idiot.' ,me,['Problem'],['no'],['NA'],,,,
'sometimes people can be so blind... Stupid me did not saw that SubClass is not extending SuperClass.' ,me,['NA'],['no'],['NA'],,,,
'Sorry my last comment was stupid as 1/8 of 8TB is still larger as Integer.MAX_VALUE I was thinking of Long.MAX_VALUE.',I (implicito) oppure comment (se other),"['comment', 'Integer.MAX_VALUE']","['si', 'no']",['last'],,,,
'Sorry I am an idiot.' ,I,['NA'],['no'],['NA'],,,,
'Stupid mistake.' ,mistake,['mistake'],['si'],['stupid'],,,,
'Then sure would have been nice to have it reported before 3 days ago.',you (implicito) ,['days'],['no'],['sure'],,,,
'This happened to me a dozen times in the last years maybe we can change the exception message?' ,this,"['years', 'we']","['no', 'no']",['last'],,,,
'Ugh I am an idiot I already committed it.' ,I,['I'],['si'],['NA'],,,,
'users however who contribute and help out tend to get their wishes just like in an open source project scratch your own itches.' ,you (implicito) ,"['itches', 'source', 'users']","['no', 'no', 'no']","['own', 'open']",,,,
'Vadim you are keeping us busy .' ,you,['Vadim'],['no'],['NA'],,,,
'wrong resolution' ,resolution,['resolution'],['si'],['wrong'],,,,
'yes I already said that my comment about assertEquals was stupid.' ,I,['NA'],['no'],['NA'],,,,
' Synchronous requests are evil and they lock the browser...' ,requests,['requests'],['si'],['synchronous'],,,,
'A somewhat kludgey fix for IntegerType data in cassandra.' ,fix,"['data', 'cassandra']","['no', 'no']",['kludgey'],,,,
'Another case where Windows' default encoding is mucking us up I am sure.' ,encoding,"['default', 'case']","['no', 'no']",['NA'],,,,
'Crap forgot to verify that this is inconsistant with MRI it is not. ' ,I (implicito),['NA'],['no'],['NA'],,,,
'I do not care if everything is pretty or not but we should at least support basic admin functionality in IE IMO though I have not used it for years for just about anything.' ,you (implicito) ,"['anything', 'years', 'I']","['no', 'no', 'no']",['basic'],,,,
'I do not say this would be difficult to add but why on earth would anyone want to do that?' ,anyone,['NA'],['no'],['NA'],,,,
'I do not think my comment was ambiguous. ' ,You (implicito),['I'],['no'],['NA'],,,,
'I suggest you try again with some actionable problem analysis 'here is what causes repair to become stuck here is how we should fix that' and without the 'everyone but me is an idiot' attitude.' ,you,"['analysis', 'idiot']","['no', 'no']",['actionable'],,,,
'I think java 7 close-with-resources is stupid too.',java,['NA'],['no'],['NA'],,,,
'I am stupid thanks David' ,I,['NA'],['no'],['NA'],,,,
'If someone changes their similarity to use a different norm type at index-time than at query-time then he or she is an idiot!' ,someone (he or she),"['type', 'idiot', 'he']","['no', 'no', 'si']",['different'],,,,
'It is not biggish It is same code as before I do not care but the RA autodetection was always horrible to me now its hidden behind something else!' ,autodetection,"['code', 'something']","['no', 'no']",['same'],,,,
'It is not only useless its as stupid as shipping with rt.jar... ' ,it,['NA'],['no'],['NA'],,,,
'It sucks but we wo not fix this for this version. ' ,it,['NA'],['no'],['NA'],,,,
'Just to clarify... you made the DTPE handle exceptions the same way as CassandraDaemon by updating it to use NBHS instead of CSLS... Did you just tell me to go fuck myself?' ,you,"['way', 'you']","['no', 'si']",['same'],,,,
'Me being stupid nevermind -' ,me,['nevermind'],['no'],['stupid'],,,,
'no I am probably being an idiot...' ,I,['NA'],['no'],['NA'],,,,
'Not my day more beer needed!' ,me (implicito),['NA'],['no'],['NA'],,,,
'Not sure there is much we can do about this except for add an external script and/or shell out to execute that script from antrun... sucks.' ,this,"['script', 'shell']","['no', 'no']",['external'],,,,
'Oh fuck Sorry. ' ,(implicito e ambiguo presumibilmente si riferisce a sé vista la seguente faccina),['NA'],['no'],['NA'],,,,
'Oh forgive me if I just said something stupid ' ,something,"['something', 'I']","['si', 'no']",['stupid'],,,,
'Oh my stupid' ,my,['NA'],['no'],['NA'],,,,
'Please close as this is just me being stupid.' ,me,['NA'],['no'],['NA'],,,,
'Reattaching v2 previous had a stupid mistake sorry about that.',that,"['mistake', 'v2']","['no', 'no']","['sorry', 'previous', 'stupid']",,,,
'So Java sucks when it comes to file perms... even if we unzip or untgz these files they will NOT have the correct permissions. ' ,Java,"['permissions', 'we', 'they']","['no', 'no', 'no']",['correct'],,,,
'Stupid me I looked at PersistentBag.addint Object instead of PersistentBag.addObject' ,me,"['PersistentBag.addObject', 'Object']","['no', 'no']",['NA'],,,,
'This is especially bad because if executing via a Hive Server it will cause the service process to crash. ' ,this,['it'],['no'],['NA'],,,,
'We should not invoke the global synced fieldnumbers shit for every element only when the setting actually changes' ,we (fieldnumber se object),['NA'],['no'],"['synced', 'global']",,,,
'who the fuck is asking for scores but not the max score and why does their insanely specialized use case justify all these booleans on a central lucene class. ' ,who,['NA'],['no'],['central'],,,,
'Whoops there is a stupid 'if i != 5 continue' on line 68 which I should have labelled with a NOCOMMIT that is in the patch.',I (implicito),"['Whoops', 'Whoops', 'i']","['no', 'no', 'si']",['NA'],,,,
'yeah well it still seems pretty damn stupid to me obviously 2 doesnt have any negative values if i am testing for something that is odd it is natural to test if 2==1 not if 2!=0 in fact it made me stare at it for a while....',it,['values'],['no'],"['negative', 'pretty']",,,,
'Yet another stupid corner case people might bump their heads against ' ,case,['people'],['no'],['stupid'],,,,
'I hate continually moving things back but it really is a better place to get fixed especially considering the major configuration changes that have happened there.' ,moving things,['NA'],['no'],['NA'],,,,
' sannegrinovero hardy I guess that since I am living the Lucene4 migration pain myself I can see how people get put off when a library changes too much in one go.',migration,"['Lucene4', 'migration']","['no', 'si']","['sannegrinovero', 'much']",,,,
'That is truly wonderful and yet delightfully useless to anyone who ignores the insulting commentary and tries to use the link.' ,that commentary,"['commentary', 'who']","['si', 'no']",['insulting'],,,,
'The drop shadow is not possible without some ugly css hacks unless you add another text node behind the one you want to shadow.' ,hacks,['hacks'],['si'],['ugly'],,,,
'It is so annoying having to add the fix manually to each new release of tapestry Please!' ,it,['release'],['no'],['new'],,,,
'I hate those I never say never but I do not think this is the issue.' ,those,['NA'],['no'],['NA'],,,,
'This is a terrible data model and not at all common.' ,This model,['model'],['si'],['terrible'],,,,
'ContainerRequest is a dumb data object.' ,ContainerRequest data object,"['object', 'ContainerRequest']","['si', 'si']",['dumb'],,,,
'So as much as I hate to do it we can add a config yarn.client.static-nmtokens-cache that is set to true by default.' ,to do it,"['config', 'nmtokens', 'default']","['no', 'no', 'no']",['much'],,,,
'This is such an annoying thing missing in Hibernate.' ,this,['thing'],['no'],['annoying'],,,,
'I am -1 on changes for CS this really complicates reservations and could lead to too much fragmentation.',this,['fragmentation'],['no'],['much'],,,,
'Workaround that is approachable Inject Path '/prototype.js' private Asset _prototypeJs boolean beginRender MarkupWriter writer throws Exception tDocument d = writer.getDocument tElement head = d.find'html/head' t thead.element 'script' 'src' _prototypeJs.toClientURL But that somehow is ugly.' ,that,"['beginRender', 'Asset', 'Path', 'd.find', 'Workaround', 'html', 'prototypeJs.toClientURL', 'beginRender', 'Exception', 'MarkupWriter', 'Path', 'prototype.js', 'tDocument']","['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']","['boolean', 'approachable', 'private']",,,,
'I hate html incompabilities.' ,I,['NA'],['no'],['NA'],,,,
'I am going to go with 2 for now although it is ugly because it is correct and hopefully relatively quick to do. ',it,['NA'],['no'],['quick'],,,,
'I know the log message is annoying but it does not break the server as you state.' ,log message,['it'],['no'],['NA'],,,,
'Ok I am just stupid.' ,I,['NA'],['no'],['NA'],,,,
'I have been very stupid not thinking about destructors ... ' ,I,['NA'],['no'],['NA'],,,,
'The inner processing loop of HS is not very robust and dies a horrible death in the event of any form of exception such as ENFE.' ,loop,"['loop', 'death']","['si', 'no']","['inner', 'horrible']",,,,
'With regard to using the forum I think it is been pretty worthless posting there moreover the searching capability to try to find an answer is horrible for complex search queries.' ,posting capability,"['capability', 'queries']","['si', 'no']",['complex'],,,,
'More annoying it seems to ignore Transient annotation since the following method causes the problem Transient public Set getTerminalIds return null ' ,it,"['method', 'getTerminalIds', 'annotation']","['no', 'no', 'no']","['transient', 'annoying', 'more', 'public', 'following', 'null']",,,,
'Not a good fix!!' ,fix,['fix'],['si'],['good'],,,,
'- Funny how many users are so willing to complain about Hibernate not 'properly' handling faulty JDBC drivers. ' ,users,"['drivers', 'users']","['no', 'si']","['many', 'faulty']",,,,
'Seems like I am not getting support for good design ideas second one that is rejected.' ,Anyone (implicito),"['ideas', 'I']","['no', 'no']",['good'],,,,
'Users can be stupid AND arrogant at the same time!' ,users,['time'],['no'],"['same', 'arrogant']",,,,
'This is a very annoying BUG and unfortunately the above descriptions and motivations suggest that it will not be easy to fix it.' ,this bug,"['descriptions', 'BUG', 'motivations']","['no', 'si', 'no']","['annoying', 'above']",,,,
'The annoying side effect for providing your own connection is the ON_CLOSE warnings it gives when the session is closed.' ,effect,"['effect', 'connection']","['si', 'no']","['annoying', 'own']",,,,
'I would hate to have attributes like 'maySelectInPast' 'maySelectInMarch2005' coming up regards Martin',to have,['NA'],['no'],['NA'],,,,
'I am going back to eclipse just battling too much with IntelliJ.' ,Intellij,['NA'],['no'],['NA'],,,,
'Reopening it I hate you Anonymous!' ,you,['NA'],['no'],['NA'],,,,
'Alas I still see the same failures as before on Linux and shame on me for not mentioning the platform earlier.' ,me,"['failures', 'shame', 'Linux', 'I']","['no', 'no', 'no', 'no']",['same'],,,,
'4.2.1.Final still has this annoying issue.',this issue,['4.2.1'],['no'],['NA'],,,,
'HB-1114 was closed without fixing it but this error is really annoying.',this error,['NA'],['no'],['NA'],,,,
'However DB2390Dialect and DB2400Dialect are now identical which is kinda ugly...',which (however … identical),['NA'],['no'],['NA'],,,,
'This is getting annoying.' ,this,['NA'],['no'],['NA'],,,,
'Removing the ability to request multiple containers would be an annoying regression for a large class of applications that merely want a non-locality-constrained bunch of processes on the cluster.' ,removing,"['regression', 'containers', 'bunch', 'class', 'cluster', 'processes']","['no', 'no', 'no', 'no', 'no', 'no']","['large', 'annoying', 'non-locality-constrained', 'multiple']",,,,
'I agree that INVALID is a horrible identifier.' ,Invalid identifier,"['identifier', 'INVALID']","['si', 'si']",['horrible'],,,,
'I do not know if this is a serious issue but will definitely be annoying for someone trying to monitor application container.' ,this issue,['issue'],['si'],"['serious', 'annoying']",,,,
'shame on you' ,you,['NA'],['no'],['NA'],,,,
'However the Deprecated annotation must not be used as this is noisy and annoying for users.' ,this,['annotation'],['no'],['annoying'],,,,
'AbstractService The inner method-names do not look good when using the service stuff.' ,Method-names,"['method', 'method', 'AbstractService']","['no', 'no', 'no']",['inner'],,,,
'It appears that there are no show-stoppers then besides my ignorance in compiling the schema.' ,my ignorance,['NA'],['no'],['NA'],,,,
'Nowadays almost anything could fall in some stupid patent issue.' ,patent issue,"['issue', 'anything']","['si', 'no']",['stupid'],,,,
'This is indeed annoying especially when your moving from an other persistence api where it is possible.' ,this,['api'],['no'],['other'],,,,
'Ah stupid modular system.' ,system,['system'],['si'],"['modular', 'stupid']",,,,
'They might be a bit annoying to write for this class but doable.' ,they,['NA'],['no'],['doable'],,,,
'Alas I still see the same failures as before on Linux and shame on me for not mentioning the platform earlier. ' ,me,"['failures', 'shame', 'Linux', 'I']","['no', 'no', 'no', 'no']",['same'],,,,
'The only annoying thing left here is 'parameter-list expansion' and that is very non-trivial...' ,thing expansion,['thing'],['si'],"['annoying', 'only']",,,,
'Hacking ResourceStreamerImpl to use System.currentTimeMillis when lastModified == 0 and a suitable change in AssetDispatcher.java to send not modified even when lastmodified == 0 is an ugly workaround but appears to solve the issue.',hacking,"['workaround', 'change']","['no', 'no']","['suitable', 'ugly']",,,,
'I hate that mechanism!' ,mechanism,['NA'],['no'],['NA'],,,,
'But we cannot stop this from happening if somebody is doing something stupid.' ,somebody,['something'],['no'],['stupid'],,,,
'In Solr we should also add commons.io to this classpath as lots of tests and core classes use the horrible IOUtils methods to converty binary files to strings or copy InputStreams to Strings.' ,methods,"['methods', 'files', 'classpath', 'Solr', 'lots']","['si', 'no', 'no', 'no', 'no']","['binary', 'horrible']",,,,
'If you think our help is worthless please talk to yourself. ' ,you,['NA'],['no'],['NA'],,,,
'Oh the formatting is ugly but the result is the same.' ,formatting,['NA'],['no'],['same'],,,,
'Well I did a stupid thing.' ,I,"['thing', 'I']","['no', 'si']",['stupid'],,,,
'No matter if this will be 'fixed' it is annoying that it is logged as an ERROR.' ,that is loggedd as an ERROR,['NA'],['no'],['NA'],,,,
'OMG I did not realize that it is in utils package.' ,I,['NA'],['no'],['NA'],,,,
'This is quite an annoyance as I want server-side switching and statefulness but in looks horrible in IE.' ,this (in=it?),['looks'],['no'],['horrible'],,,,
'It is rather frustrating to find that there is enough time to complain and hack around things but apparently not enough time to collaborate.' ,to find that…,['time'],['no'],"['enough', 'enough']",,,,
'Well in my case I now use an ugly workaround splitting the string adding as a must and catching the errors when I encounter a stopword term in a number of places.' ,workaround,"['workaround', 'term', 'I']","['si', 'no', 'no']","['stopword', 'ugly']",,,,
